case_id,province,city,group,infection_case,confirmed,latitude,longitude
46,Ukraine,Staryy Sambor,true,Pepper Wood,149,49.443994,23.0037506
47,Indonesia,Pasirjaya,false,Arizona,180,-6.1788812,107.5209304
48,China,Dahe,false,Larry,106,38.135288,114.397004
49,Kazakhstan,Kostanay,true,Killdeer,99,53.2198089,63.6354232
50,China,Jishan,false,Gina,112,35.604025,110.983333
51,Argentina,Zárate,false,Wayridge,172,-34.7264519,-58.6055652
52,Central African Republic,Kaga Bandoro,true,Pierstorff,71,6.9960368,19.1850317
53,Indonesia,Hewa,false,Portage,122,-8.5713352,122.6898986
54,Indonesia,Gedangan,true,Gateway,2,-7.3933814,112.7330892
55,Niger,Alaghsas,false,Oriole,118,17.0187,8.0168
56,Norway,Trondheim,false,Buhler,117,63.4251464,10.4677043
57,United States,Springfield,true,Charing Cross,109,42.1014803,-72.5766759
58,Chile,Lampa,false,Mandrake,70,-33.2827093,-70.879328
59,Poland,Widuchowa,false,Acker,166,53.1395216,14.4504726
60,China,Wang’er,true,Shelley,60,40.1919977,122.1700081
61,Spain,Cartagena,true,Colorado,104,37.5968793,-1.0346774
62,Sweden,Luleå,true,Redwing,166,65.5966234,22.118526
63,Colombia,El Águila,false,Kipling,185,4.9428987,-76.0285737
64,China,Gucheng,false,Dwight,100,37.347409,115.965874
65,China,Wuxue Shi,true,Vera,173,29.844107,115.561217
66,Gambia,Galleh Manda,false,1st,20,13.449097,-14.769285
67,Peru,Santiago de Chuco,true,Hooker,162,-8.1468836,-78.1721189
68,China,Wangqinzhuang,false,La Follette,100,39.228905,117.101355
69,Germany,Berlin,false,Amoth,13,52.5121401,13.414046
70,China,Yongfa,true,Valley Edge,8,23.364295,116.700277
71,Philippines,Manaulanan,true,Sutteridge,65,7.0539999,124.6719971
72,Philippines,Bugo,true,Sachtjen,84,8.5067807,124.759938
73,Indonesia,Martapura,false,Heffernan,19,-3.411598,114.8452
74,Russia,Chernyshkovskiy,false,Melody,44,48.3696989,42.1773513
75,Nigeria,Dankalwa,true,John Wall,86,11.7447935,12.1818557
76,Russia,Sim,false,Bay,196,54.9896116,57.6874206
77,Egypt,Madīnat Sittah Uktūbar,false,Rutledge,13,29.9588757,30.9006905
78,Philippines,Sula,false,Moland,72,13.2415746,123.8621907
79,Serbia,Gornji Breg,true,Stuart,143,45.8829678,19.9675163
80,Yemen,Ḩarīb,false,Elka,47,14.92653,45.507141
81,Russia,Nizhniy Kurkuzhin,true,Saint Paul,88,43.7041519,43.3264539
82,Philippines,Ferrol,true,Crownhardt,118,12.309606,121.92404
83,Malaysia,Kuching,false,Havey,83,1.4871144,110.3426018
84,Venezuela,Seboruco,true,Village Green,18,8.1406054,-72.0705185
85,Philippines,Tingloy,false,Vera,72,13.6690327,120.8546864
86,China,Siquanpu,true,Judy,110,30.2638032,102.8054753
87,China,Hengyang,false,Forest Run,20,26.893368,112.572018
88,Russia,Novorossiysk,false,Mandrake,186,44.7154014,37.7619669
89,United States,Young America,true,Towne,70,44.81,-93.92
90,Philippines,Ilaya,true,Killdeer,164,14.5661645,121.0321655
91,Mali,Mopti,false,Marquette,36,14.4874284,-4.1974627
92,China,Huolianpo,true,Northview,11,29.8812968,111.4535119
93,China,Xiamazhuang,true,Carioca,120,37.233266,122.456824
94,Russia,Goryachevodskiy,true,Victoria,183,44.028793,43.1146215
95,China,Hedong,false,Judy,192,39.128291,117.251586
96,France,Saumur,false,Anthes,76,47.2623398,-0.1393138
97,China,Dongfanghong,true,David,49,41.1846097,80.3038321
98,China,Xinjia,true,Prairie Rose,134,42.5246357,87.5395855
99,Bosnia and Herzegovina,Cazin,false,Oriole,146,44.9690446,15.9431582
100,Egypt,Kawm Ḩamādah,false,Ohio,60,30.75782,30.69768
101,Hong Kong,Hong Kong,true,Kensington,144,22.396428,114.109497
102,Colombia,Linares,false,Morningstar,63,1.350933,-77.52387
103,Sweden,Västra Frölunda,true,Dryden,151,57.6455018,11.9253004
104,Indonesia,Argotirto Krajan,true,Oneill,128,-8.2885,112.6884
105,Czech Republic,Přimda,true,Parkside,184,49.6748894,12.6736722
106,Ukraine,Kobelyaky,true,Armistice,157,49.1517927,34.1953871
107,Portugal,Loures,false,Forest Dale,175,38.8424265,-9.1901989
108,China,Jiangnan,true,Kennedy,12,22.781631,108.273158
109,Macedonia,Sedlarevo,true,Alpine,31,41.88306,21.1275
110,Vietnam,Quán Hành,false,3rd,89,18.7853365,105.6418428
111,Poland,Szczurowa,true,Meadow Valley,107,50.1069802,20.6303821
112,Canada,Lamont,true,Kensington,98,53.76686,-112.80195
113,Indonesia,Karangan,false,Randy,196,0.556948,109.374802
114,Indonesia,Gesikan,true,Pawling,48,-7.7090989,109.6922026
115,Poland,Trzebinia,true,Spohn,16,53.068264,16.136353
116,China,Lingxi,true,Hagan,196,29.367984,111.177234
117,Ethiopia,Āsasa,true,Gerald,181,7.1069627,39.2011716
118,Croatia,Brnaze,true,Bay,98,43.677427,16.6565678
119,Mexico,Guadalupe,false,High Crossing,5,25.6775595,-100.2596935
120,China,Aimin,false,Thompson,44,44.596097,129.591591
121,Greece,Filiatrá,false,Haas,4,37.1573835,21.5855686
122,Indonesia,Sofifi,true,Hazelcrest,117,0.7349651,127.5614454
123,China,Chabu,true,Dapin,94,30.262907,84.475645
124,Philippines,Malway,true,Hovde,139,14.4776308,121.0328004
125,Poland,Świlcza,false,Dixon,68,50.0579046,21.897502
126,Luxembourg,Winseler,false,Lillian,191,49.9672504,5.8900588
127,Portugal,Póvoa,true,Waywood,167,39.60178,-8.968457
128,Egypt,Maţāy,true,Bluestem,137,28.4233602,30.734995
129,Mexico,Lazaro Cardenas,false,Bobwhite,137,17.9567646,-102.1943485
130,Russia,Mineralnye Vody,false,Nelson,157,44.2452219,43.0880662
131,Poland,Czarnowąsy,true,Dorton,148,50.6627543,17.9265186
132,Russia,Ilovlya,true,Morrow,63,49.3268319,44.018505
133,Philippines,Haguimit,false,Doe Crossing,128,7.0649018,125.7230302
134,Palestinian Territory,Sīrīs,true,Schlimgen,179,32.328224,35.292369
135,Russia,Zherdevka,false,Michigan,15,51.84861,41.46056
136,Russia,Gryazovets,true,Tony,4,58.8144355,40.7334111
137,Uruguay,Pando,false,Anhalt,16,-34.7117766,-55.963705
138,Venezuela,Jacura,false,Stoughton,123,11.0736954,-68.9539593
139,France,Carrières-sur-Seine,false,Charing Cross,39,48.911035,2.16555
140,Brazil,Arapiraca,true,Nelson,38,-9.755588,-36.6639577
141,China,Qiaotou,false,Warbler,135,28.168408,120.482198
142,Greece,Loutráki,true,Prentice,23,37.9759033,22.9774589
143,Honduras,Copán,false,Shelley,141,14.8497254,-89.1467832
144,Malta,Kirkop,false,Lakewood,141,35.846212,14.486396
145,Ukraine,Horlivka,true,Service,87,48.3071,38.029633
146,Brazil,Jaraguá do Sul,true,Fisk,8,-26.4822209,-49.073477
147,China,Dandai,true,Laurel,2,46.278448,123.854016
148,China,Wuqu,false,Stone Corner,46,31.3505924,119.8021001
149,Spain,Valencia,true,Menomonie,91,39.463861,-0.3689508
150,Mongolia,Höshigiyn-Ar,true,Novick,187,47.55717,106.96333
151,Russia,Shkotovo,false,Moland,110,43.3250688,132.3546464
152,Philippines,Sagana,true,Waxwing,169,15.5700166,121.1472247
153,Portugal,Venda Nova,true,Dwight,187,38.4784282,-9.1007778
154,China,Juexi,true,Express,4,29.471039,121.948692
155,Uruguay,Tarariras,true,Brickson Park,19,-34.2696756,-57.615575
156,China,Anwen,false,Erie,196,29.04527,120.433275
157,Bangladesh,Tungi,true,Becker,29,23.8697964,90.4219444
158,Peru,Carabayllo,true,Jana,185,-11.792902,-76.9873477
159,Micronesia,Pisaras,false,Redwing,55,8.5703071,150.4189148
160,Greece,Episkopí,false,Pine View,45,35.3292328,24.3359662
161,Indonesia,Banjarmasin,true,Lawn,1,-3.3186067,114.5943784
162,China,Huashi,false,Scoville,15,27.511611,112.726555
163,Sweden,Borlänge,true,Bluejay,195,60.3068052,15.3893305
164,Tunisia,Ar Rudayyif,false,South,84,34.3827,8.15549
165,Greece,Velventós,true,Fair Oaks,5,40.2545476,22.0742782
166,Brazil,Guararema,false,Walton,103,-23.400962,-46.011014
167,Russia,Burla,false,Charing Cross,128,53.3347847,78.3407084
168,China,Yinjiacheng,false,Nevada,52,36.188112,106.951372
169,Peru,Ferreñafe,false,Russell,48,-6.6382226,-79.7904475
170,China,Shuidong,true,Esch,57,22.492431,111.075519
171,China,Jiezi,true,Cherokee,137,30.815101,103.560075
172,Philippines,Hermosa,false,Badeau,120,14.818398,120.4854364
173,France,Tarbes,true,Carey,146,43.247343,0.06251
174,Poland,Ręczno,false,Forest,30,51.2217758,19.877027
175,South Korea,Koesan,true,Hayes,66,35.907757,127.766922
176,France,Lens,true,Duke,97,46.280212,-0.4601725
177,Greece,Argalastí,true,Knutson,105,39.2259226,23.2195437
178,Cape Verde,Vila de Sal Rei,false,Nova,55,16.183349,-22.9148168
179,Morocco,Senada,true,Meadow Valley,140,35.0785984,-4.215396
180,China,Yezhu,false,Lerdahl,35,26.087511,107.924631
181,Mexico,San Miguel,true,La Follette,144,19.3579802,-99.0806088
182,South Africa,Vredenburg,true,Kenwood,184,-32.9127799,17.9946667
183,Portugal,Santo André,false,Schurz,142,38.640106,-9.0560562
184,Poland,Brodnica,true,Forest Run,136,52.138523,16.8924785
185,Bosnia and Herzegovina,Velika Kladuša,true,Del Sol,145,45.1838373,15.8065454
186,United States,Saint Louis,true,Esch,29,38.6160491,-90.2291565
187,China,Xihe,false,Novick,45,34.014215,105.298756
188,Costa Rica,Alajuela,false,Onsgard,162,10.0165314,-84.2184331
189,Luxembourg,Mondorf-les-Bains,false,Surrey,7,49.5054982,6.2761743
190,Costa Rica,La Cruz,true,Southridge,68,10.0445164,-84.4971588
191,Indonesia,Rato,true,Ilene,120,-8.655524,119.0052561
192,Belarus,Lahoysk,false,Mallard,75,54.2042169,27.8532022
193,Indonesia,Wolofeo,true,Del Sol,97,-8.7334983,121.7508912
194,Syria,Muḩradah,false,Melvin,24,35.2487361,36.5715924
195,Poland,Wola Uhruska,true,Spaight,98,51.3217146,23.6261558
196,Philippines,Cawayan,false,Orin,16,12.0675239,123.7223625
197,Nigeria,Abua,false,Goodland,49,4.9564022,6.6344177
198,Russia,Brusyanka,false,Texas,115,53.98492,38.03593
199,Brazil,Espírito Santo do Pinhal,true,Badeau,172,-22.1859595,-46.7655989
200,Bosnia and Herzegovina,Cazin,true,Bartillon,32,44.9690446,15.9431582
201,Indonesia,Sedinginan,false,Farragut,130,1.5594449,101.0146187
202,China,Shahezi,true,Waywood,145,44.306097,86.080602
203,Brazil,Aimorés,false,Johnson,13,-19.4959312,-41.0713439
204,Croatia,Fažana,true,Prentice,103,44.9248529,13.8198739
205,China,Changlu,false,Vahlen,199,32.26101,118.809786
206,Sweden,Falkenberg,false,Melody,192,56.9096602,12.4888867
207,Dominica,Portsmouth,true,David,46,15.5561791,-61.45814
208,Nigeria,Neni,true,Calypso,94,6.0808532,7.0014657
209,China,Banqiao,true,Brentwood,120,31.922974,118.663681
210,China,Boshi,true,Superior,63,30.6514558,104.08491
211,Nigeria,Iwo,true,Warrior,125,7.6292088,4.1872178
212,Russia,Dubrovka,false,Rutledge,177,53.6911177,33.5027704
213,China,Longlisuo,true,Ruskin,54,26.41417,109.10222
214,Greece,Náousa,true,Coolidge,44,40.6294406,22.0688549
215,Venezuela,Santa María de Ipire,true,Pawling,10,8.4478637,-65.3807101
216,Russia,Yur’yev-Pol’skiy,false,Division,133,56.5005833,39.6794042
217,France,Boé,false,Coleman,169,44.190357,0.63968
218,Argentina,San Rafael,true,Hagan,92,-34.6143394,-68.3426534
219,Indonesia,Bombu,false,Arkansas,174,-5.0173504,122.8704925
220,Uruguay,San Javier,false,Anhalt,133,-32.6626805,-58.1295074
221,Afghanistan,Sang-e Māshah,true,Bluejay,62,33.1396,67.44046
222,Greece,Limín Khersonísou,false,Prairie Rose,167,35.32297,25.39275
223,Portugal,Gandra,true,Continental,2,41.1872522,-8.434873
224,Portugal,Beja,false,Starling,83,38.0208091,-7.8554287
225,China,Kuanchuan,false,Duke,197,35.338192,104.198771
226,Kazakhstan,Dzhetygara,true,Spohn,63,52.2163528,61.2809373
227,Argentina,El Cuy,false,Boyd,23,-31.3366412,-64.3060567
228,Bulgaria,Byala Slatina,false,Kingsford,88,43.5066525,23.8635696
229,United States,Orlando,false,Village,181,28.5417016,-81.2408689
230,Philippines,Montilla,false,Sutherland,175,8.9438393,125.5403208
231,Indonesia,Op,true,Ramsey,84,-9.9234974,124.649701
232,Sweden,Lilla Edet,false,Summerview,81,58.1456847,12.1337569
233,Russia,Kiyevskoye,false,Bayside,145,43.7071168,44.643763
234,Czech Republic,Velký Újezd,false,Raven,55,49.5784817,17.4835513
235,Ivory Coast,Boundiali,false,Dahle,52,9.5183617,-6.482318
236,France,Villejuif,true,Dawn,4,48.7823921,2.368326
237,Peru,Lacabamba,true,Graceland,63,-8.2614583,-77.8988897
238,Mexico,Las Americas,true,Mcbride,173,21.1078535,-101.694732
239,Poland,Kępno,false,Roth,79,51.2781356,17.9890591
240,United States,Little Rock,false,Everett,113,34.6741181,-92.3517526
241,Colombia,Algarrobo,false,Dwight,49,10.2453984,-74.041805
242,Poland,Sypniewo,false,School,96,53.0155306,21.3375451
243,Philippines,Malhiao,true,Melby,96,9.8769686,123.3996176
244,France,Digne-les-Bains,false,Prairie Rose,60,44.0905495,6.2272625
245,United Kingdom,Stapleford,true,Hanover,150,53.10672,-0.687802
246,Philippines,Glad,false,Iowa,81,7.1774408,124.5350175
247,Bangladesh,Tungipāra,true,Melby,42,22.9073374,89.8984508
248,Philippines,Tarlac City,false,Blaine,46,15.4621386,120.5797508
249,China,Pulian,true,Tony,72,30.229314,120.643023
250,Russia,Novoalekseyevskaya,true,Twin Pines,119,44.8238879,40.9170843
251,Indonesia,Jepuro,true,Corry,85,-6.7282418,111.1447759
252,Portugal,Azeitão,true,Blue Bill Park,29,38.5194,-9.0138
253,China,Xingang,false,Green Ridge,179,39.0063718,117.6852235
254,Indonesia,Rato,false,Leroy,188,-8.655524,119.0052561
255,China,Xiyuan,true,Thierer,72,30.5859716,114.2689545
256,Philippines,Llanera,true,Fair Oaks,9,15.6662632,121.0126662
257,Tonga,Pangai,false,Dixon,66,-19.811431,-174.3502613
258,Indonesia,Armopa,false,Steensland,160,-2.2875948,139.6044141
259,Nigeria,Gwandu,true,Bashford,80,12.4985661,4.6424521
260,Venezuela,Clarines,false,Pennsylvania,144,9.9399061,-65.1610557
261,Brazil,Luziânia,false,Gina,7,-16.2513167,-47.952747
262,Indonesia,Sukasada,true,Randy,5,-8.1928129,115.1177654
263,Portugal,Cruz,false,Fulton,21,40.76191,-7.7532796
264,China,Shuiquan,true,Village,42,35.640089,103.766427
265,China,Yongping,true,Prairieview,179,25.464681,99.541236
266,China,Heshi,true,Kedzie,51,24.3482735,116.6988851
267,Peru,Longar,true,Mitchell,94,-6.3870559,-77.5461785
268,Norway,Oslo,true,Farwell,94,59.9374398,10.7160051
269,Macedonia,Kamenjane,true,Stone Corner,70,41.9432941,20.9481376
270,Indonesia,Hokor,false,Lien,70,-8.727652,122.2483726
271,Indonesia,Banjar Madangan Kaja,true,Briar Crest,141,-8.475,115.3238
272,Philippines,Mindupok,true,Eastlawn,121,6.0825,124.4327774
273,China,Touzao,true,Trailsway,38,32.888994,120.555917
274,China,Golug,false,Evergreen,181,30.823526,91.622728
275,China,Mingshan,true,Tony,63,30.069954,103.109184
276,Venezuela,Tucaní,true,Warbler,99,8.9679001,-71.2740573
277,Czech Republic,Podolí,false,Daystar,169,49.430258,17.8571512
278,Brazil,Brejo da Madre de Deus,true,Maple Wood,163,-8.1405443,-36.371496
279,United States,Denver,true,Merry,121,39.790486,-104.9000469
280,China,Meixi,true,Jackson,60,24.265926,116.081656
281,Costa Rica,San José,false,East,94,9.9165452,-84.1014639
282,Ukraine,Boyany,true,Elka,115,48.269924,26.1261538
283,China,Huayuan,true,Lakewood Gardens,132,28.572029,109.482078
284,Cuba,Bolondrón,false,Shasta,195,22.7627589,-81.4471254
285,China,Laocheng,false,Bartillon,131,34.683646,112.469023
286,China,Ya’ngan,true,Namekagon,186,31.83889,94.43722
287,Indonesia,Ajung,false,Morrow,51,-8.2359916,113.6561725
288,Indonesia,Gedangan,false,Crowley,2,-7.3933814,112.7330892
289,China,Maliang,true,Vidon,41,26.27436,106.586543
290,Tanzania,Mvomero,true,Green Ridge,141,-6.235617,38.693748
291,France,Boulogne-sur-Mer,true,Londonderry,130,50.7308185,1.5948224
292,Philippines,Gocoton,false,Glacier Hill,129,7.15611,124.69111
293,Indonesia,Kelodan,false,Anhalt,175,-8.6283422,115.2580854
294,Bulgaria,Gotse Delchev,false,Kinsman,191,41.5728211,23.7282719
295,China,Lujing Zhen,true,Sauthoff,168,34.319658,104.562412
296,Myanmar,Syriam,true,Caliangt,100,16.7587537,96.2482149
297,Ukraine,Ozerne,false,Roth,52,50.1801755,28.7362455
298,Sweden,Lidköping,false,Westend,145,58.5033171,13.1611762
299,Argentina,Aranguren,false,Cambridge,25,-34.6261642,-58.4754013
300,Indonesia,Banjar Desa,true,Parkside,181,-3.3200228,114.9991464
301,Poland,Głuchów,true,Sunbrook,50,51.8123584,20.065421
302,Peru,Huasahuasi,false,Crowley,135,-11.2648012,-75.6491753
303,China,Xike,true,Meadow Valley,126,31.228026,121.454211
304,Indonesia,Sumenep,true,Toban,120,-6.9253999,113.9060624
305,China,Zhangjiapan,true,Lakewood,185,31.875572,120.556005
306,Nigeria,Nkpor,true,Kennedy,62,6.1462401,6.8297403
307,Kazakhstan,Georgīevka,false,Sugar,86,52.7572749,78.2041704
308,Indonesia,Tanjung Palas,true,Eastlawn,71,2.8426922,117.2911248
309,Russia,Novonukutskiy,true,Carioca,46,53.7002,102.7117
310,Laos,Không,true,Derek,20,14.1175166,105.8547173
311,China,Tongqiao,false,Carioca,168,23.035191,114.300299
312,Serbia,Paraćin,false,Nobel,168,43.858616,21.403911
313,Uganda,Napak,true,Tennessee,166,2.3629945,34.2421597
314,Egypt,Diyarb Najm,true,Claremont,71,30.7532224,31.442761
315,China,Malichang,true,Pearson,1,28.429025,109.500848
316,Japan,Shiki,true,Marcy,84,32.5126481,130.0510793
317,Czech Republic,Malonty,true,Badeau,163,48.6768262,14.5775257
318,Guadeloupe,Jarry,true,Cherokee,94,16.2359,-61.558
319,China,Ya’ergenchu,false,Truax,196,47.74603,122.60809
320,Comoros,Patsi,false,Straubel,68,-12.1584708,44.4364706
321,Japan,Chichibu,true,Derek,26,35.9528417,139.0791865
322,Russia,Batagay-Alyta,true,Randy,133,67.792809,130.4017789
323,Poland,Gniechowice,false,Quincy,72,50.98804,16.83363
324,China,Poxin,false,Brentwood,62,21.630384,111.000373
325,Indonesia,Cipanas,false,Carioca,159,-6.7131574,107.0185123
326,Portugal,Lagoa,true,Roth,95,37.7451046,-25.5720746
327,China,Ya’erya,true,Hermina,79,43.1043447,-88.0162724
328,Cuba,Baraguá,false,Mitchell,170,21.6936233,-78.6313624
329,Vietnam,Thị Trấn Na Sầm,false,Ilene,4,22.0557244,106.615868
330,Greece,Kálamos,true,Dwight,112,38.6218706,20.9089378
331,Colombia,Medellín,true,Leroy,123,6.3833462,-75.5858886
332,Poland,Mosina,false,Sherman,143,52.2454069,16.8470545
333,Indonesia,Bucu Lor,true,Buhler,12,-6.5397069,110.8463512
334,Indonesia,Gontar,true,Grim,194,-8.5011336,116.9646378
335,Bulgaria,Belene,true,Kenwood,153,43.6445087,25.1246359
336,China,Xincun,false,Eagan,176,18.412445,109.971328
337,Portugal,Oliveirinha,true,Utah,85,40.60624,-8.5926997
338,Indonesia,Daleman,false,Delaware,145,-7.7276103,110.8582722
339,Malaysia,Kuala Terengganu,false,Starling,3,5.329576,103.1369108
340,Thailand,Khemarat,true,Jenna,185,16.0481202,105.1375908
341,Russia,Urus-Martan,false,Buhler,12,43.1298714,45.5357156
342,Indonesia,Tanagara,true,Tennessee,106,-6.2683218,106.1081103
343,China,Hongguang,true,Northport,43,32.2009532,119.4314373
344,Sierra Leone,Kabala,true,Calypso,27,9.5844123,-11.5589105
345,Poland,Bobolice,true,Waubesa,40,53.95494,16.5876701
346,Indonesia,Palamadu,false,Maple Wood,16,-10.0396,120.754
347,Syria,Jubb Ramlah,false,Hollow Ridge,52,35.2075821,36.4229074
348,Indonesia,Telengsari,false,Michigan,103,-8.1814,113.6917
349,Poland,Sosnówka,false,Kenwood,165,50.8177069,15.7230035
350,United States,Los Angeles,false,Almo,191,33.9930471,-118.153228
351,Syria,Kafr Nubl,true,Farragut,167,35.6139047,36.5607888
352,Togo,Badou,true,Troy,5,7.5866041,0.6085749
353,Poland,Żółkiewka,true,1st,70,50.909807,22.8346659
354,Brazil,São Mateus do Sul,true,Mccormick,115,-25.8681839,-50.3842316
355,Russia,Dal’neye Konstantinovo,false,Graedel,191,55.8071267,44.086347
356,China,Haokou,false,Vidon,108,30.378737,112.649998
357,Vietnam,Yên Bái,false,Ilene,16,21.6837923,104.4551361
358,Bosnia and Herzegovina,Bila,false,Killdeer,38,43.7764262,16.9261199
359,Colombia,Sáchica,true,Continental,10,5.583059,-73.542575
360,China,Bozhou,true,Spenser,156,33.844582,115.778676
361,North Korea,Hoeyang,false,Coleman,197,38.7150205,127.6015031
362,Jordan,Al Mazār,true,Carioca,70,31.067952,35.6955945
363,Brazil,Itabuna,true,Brentwood,65,-14.7918149,-39.284293
364,Russia,Vostochnyy,true,8th,198,55.7558852,37.8775383
365,Indonesia,Sumberjati,false,Hollow Ridge,115,-8.1830575,113.9358031
366,China,Jiezi,true,Clemons,39,30.815101,103.560075
367,Poland,Duszniki-Zdrój,true,Oakridge,15,50.404284,16.3904406
368,Indonesia,Hane,true,Kennedy,155,-9.9275387,124.2254855
369,Colombia,Sincé,false,Clove,192,9.2633053,-75.1927805
370,Poland,Miechów Charsznica,true,Elgar,51,50.409026,19.932785
371,Pakistan,New Mīrpur,false,Donald,178,25.4105868,68.418057
372,Albania,Korçë,true,Logan,93,40.6140785,20.7778071
373,Philippines,Carigara,false,Spaight,56,11.3008218,124.6904308
374,Sweden,Helsingborg,false,Susan,140,56.0212332,12.7210712
375,Serbia,Požarevac,true,Moose,0,44.6208353,21.1842054
376,China,Daruoyan,true,7th,1,28.297306,120.632491
377,United States,Toledo,false,Basil,155,41.6775685,-83.5629746
378,Macao,Macau,true,Prairie Rose,104,22.198745,113.543873
379,Argentina,Añatuya,false,Fair Oaks,156,-27.7828418,-64.2837225
380,Philippines,Paitan,false,Londonderry,31,16.084073,120.026896
381,Japan,Hiroshima-shi,true,Crowley,104,34.4045029,132.5485088
382,Portugal,Luso,false,Sachtjen,98,40.3853464,-8.380125
383,Comoros,Harembo,false,Del Mar,50,-12.1504727,44.4977855
384,China,Fengyuan,false,Susan,46,22.333918,114.153378
385,Russia,Kholbon,true,New Castle,171,51.88333,116.25
386,Czech Republic,Nelahozeves,false,Oriole,86,50.2614833,14.2988193
387,Tajikistan,Gharavŭtí,false,Forest Run,173,37.56702,68.44668
388,China,Guohe,false,Dennis,14,28.94074,113.447431
389,Indonesia,Hane,true,Melvin,168,-9.9275387,124.2254855
390,Bulgaria,Gulyantsi,false,Northview,68,43.5370504,24.7458579
391,Nigeria,Konkwesso,false,Grim,20,10.8476607,4.0963821
392,Brazil,Vazante,true,Iowa,133,-17.7050221,-46.7478493
393,China,Niaojin,true,Derek,189,39.3433574,117.3616476
394,China,Dingqiao,false,Annamark,87,30.350192,120.222909
395,Poland,Wleń,true,Summit,45,51.0176058,15.677587
396,Portugal,Biscoitos,false,Stuart,185,38.6152027,-28.0339781
397,China,Jinta,false,Katie,77,39.983599,98.90327
398,China,Xinzhai,false,Hallows,174,36.809895,116.428916
399,Indonesia,Bamban,false,Pleasure,83,-6.791629,111.5140386
400,Indonesia,Bucu Kidul,false,Jackson,85,-6.5397069,110.8463512
401,Yemen,Suḩayl Shibām,false,School,170,15.91448,48.63864
402,China,Zhulan,true,Michigan,4,25.627549,115.717179
403,Indonesia,Tempel,false,Independence,58,-7.6646951,110.3189662
404,Spain,Murcia,false,Independence,63,37.970285,-1.1424989
405,China,Loujiadian,false,Larry,11,42.060385,120.665667
406,China,Honglai,true,Kings,5,23.1446758,113.2532221
407,Ecuador,Naranjito,true,Hallows,147,-2.176347,-79.4366324
408,Indonesia,Sendangagung,true,Moose,117,-7.7280457,110.2325862
409,China,Xundian,false,Sachs,35,25.558201,103.256615
